ID;ICD-10-Code;ICD-O-Code;ICD-10 Text;Label;Topography Text;Extended Label;Prompt Text
I04554;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes Melanom der unteren Gliedmaßen;Haut der unteren Extremität und der Hüfte;Malignes Melanom der unteren Gliedmaßen (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I00479;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes Melanom des Beins;Haut der unteren Extremität und der Hüfte;Malignes Melanom des Beins (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I33157;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes Melanom des Fußes;Haut der unteren Extremität und der Hüfte;Malignes Melanom des Fußes (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I76477;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes Melanom des Knies;Haut der unteren Extremität und der Hüfte;Malignes Melanom des Knies (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I04959;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes Melanom des Knöchels;Haut der unteren Extremität und der Hüfte;Malignes Melanom des Knöchels (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I15202;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes Melanom des Oberschenkels;Haut der unteren Extremität und der Hüfte;Malignes Melanom des Oberschenkels (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I22974;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes Melanom des Unterschenkels;Haut der unteren Extremität und der Hüfte;Malignes Melanom des Unterschenkels (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I34147;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes Melanom des Vorfußes;Haut der unteren Extremität und der Hüfte;Malignes Melanom des Vorfußes (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I49746_1;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes Melanom einer Zehe;Haut der unteren Extremität und der Hüfte;Malignes Melanom einer Zehe (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I99217;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Malignes superfiziell spreitendes Melanom des Unterschenkels;Haut der unteren Extremität und der Hüfte;Malignes superfiziell spreitendes Melanom des Unterschenkels (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I35916;C43.7;C44.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;Melanom eines Zehennagels;Haut der unteren Extremität und der Hüfte;Melanom eines Zehennagels (Haut der unteren Extremität und der Hüfte);Bösartiges Melanom der unteren Extremität, einschließlich Hüfte (Haut der unteren Extremität und der Hüfte)
I58161;C43.8;C44.8;Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend;Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend;Haut, mehrere Teilbereiche überlappend;Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend;Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend
I70047;C43.8;C44.8;Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend;Familiäres Melanom der Haut, mehrere Teilbereiche überlappend;Haut, mehrere Teilbereiche überlappend;Familiäres Melanom der Haut, mehrere Teilbereiche überlappend;Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend
I01477_2;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Achromatisches Melanom;Haut o.n.A.;Achromatisches Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I34738;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Amelanotisches Melanom;Haut o.n.A.;Amelanotisches Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I20085;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Ballonzell-Melanom;Haut o.n.A.;Ballonzell-Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I33180;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Blasenzellen-Melanom;Haut o.n.A.;Blasenzellen-Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I86845;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Bösartiges akrolentiginöses Melanom;Haut o.n.A.;Bösartiges akrolentiginöses Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I50259;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Bösartiges Melanom;Haut o.n.A.;Bösartiges Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I34039;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Desmoplastisches bösartiges Melanom;Haut o.n.A.;Desmoplastisches bösartiges Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I36356;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Epitheloidzelliges Melanom;Haut o.n.A.;Epitheloidzelliges Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I73689;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Epitheloidzelliges Melanosarkom;Haut o.n.A.;Epitheloidzelliges Melanosarkom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I01802;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Familiäres Melanom;Haut o.n.A.;Familiäres Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I95058;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Hautmelanokarzinom;Haut o.n.A.;Hautmelanokarzinom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I81813;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes akrolentiginöses Melanom;Haut o.n.A.;Malignes akrolentiginöses Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I00353;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes amelanotisches Melanom;Haut o.n.A.;Malignes amelanotisches Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I23424;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes knotiges Melanom;Haut o.n.A.;Malignes knotiges Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I50833;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes Melanom;Haut o.n.A.;Malignes Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I24098;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes Melanom an einem Nagel;Haut o.n.A.;Malignes Melanom an einem Nagel (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I01232;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes Melanom der Haut;Haut o.n.A.;Malignes Melanom der Haut (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I98312;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes Melanom in Sommersprossen;Haut o.n.A.;Malignes Melanom in Sommersprossen (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I50390;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes noduläres Melanom;Haut o.n.A.;Malignes noduläres Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I04007;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes Schleimhautmelanom;Haut o.n.A.;Malignes Schleimhautmelanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I30758;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Malignes superfiziell spreitendes Melanom;Haut o.n.A.;Malignes superfiziell spreitendes Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I94274;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Melanom;Haut o.n.A.;Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I57072;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Melanom-Rezidiv;Haut o.n.A.;Melanom-Rezidiv (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I28769;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Melanotisches Sarkom;Haut o.n.A.;Melanotisches Sarkom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I34197;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Metastasiertes malignes Melanom;Haut o.n.A.;Metastasiertes malignes Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I71077;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Naevus malignus;Haut o.n.A.;Naevus malignus (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I35641;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Neurotrophes bösartiges Melanom;Haut o.n.A.;Neurotrophes bösartiges Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I10785;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Noduläres Melanom;Haut o.n.A.;Noduläres Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I66771;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Oberflächlich spreitendes Melanom;Haut o.n.A.;Oberflächlich spreitendes Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I65018_1;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Regressives bösartiges Melanom;Haut o.n.A.;Regressives bösartiges Melanom (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I30862;C43.9;C44.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;Superficial spreading melanoma;Haut o.n.A.;Superficial spreading melanoma (Haut ohne nähere Angabe);Bösartiges Melanom der Haut, nicht näher bezeichnet (Haut ohne nähere Angabe)
I32829;C44.0;C44.0;Sonstige bösartige Neubildungen: Lippenhaut;Basalzellkarzinom der Lippe;Lippenhaut o.n.A.;Basalzellkarzinom der Lippe (Lippenhaut ohne nähere Angabe);Sonstige bösartige Neubildungen: Lippenhaut (Lippenhaut ohne nähere Angabe)
I80637;C44.0;C44.0;Sonstige bösartige Neubildungen: Lippenhaut;Bösartige Neubildung der Lippenhaut;Lippenhaut o.n.A.;Bösartige Neubildung der Lippenhaut (Lippenhaut ohne nähere Angabe);Sonstige bösartige Neubildungen: Lippenhaut (Lippenhaut ohne nähere Angabe)
I99379;C44.0;C44.0;Sonstige bösartige Neubildungen: Lippenhaut;Lippenbasaliom;Lippenhaut o.n.A.;Lippenbasaliom (Lippenhaut ohne nähere Angabe);Sonstige bösartige Neubildungen: Lippenhaut (Lippenhaut ohne nähere Angabe)
I21779;C44.0;C44.0;Sonstige bösartige Neubildungen: Lippenhaut;Lippenhautkarzinom;Lippenhaut o.n.A.;Lippenhautkarzinom (Lippenhaut ohne nähere Angabe);Sonstige bösartige Neubildungen: Lippenhaut (Lippenhaut ohne nähere Angabe)
I48564;C44.0;C44.0;Sonstige bösartige Neubildungen: Lippenhaut;Lippenhautkrebs;Lippenhaut o.n.A.;Lippenhautkrebs (Lippenhaut ohne nähere Angabe);Sonstige bösartige Neubildungen: Lippenhaut (Lippenhaut ohne nähere Angabe)
I66112;C44.0;C44.0;Sonstige bösartige Neubildungen: Lippenhaut;Merkel-Zell-Karzinom der Lippenhaut;Lippenhaut o.n.A.;Merkel-Zell-Karzinom der Lippenhaut (Lippenhaut ohne nähere Angabe);Sonstige bösartige Neubildungen: Lippenhaut (Lippenhaut ohne nähere Angabe)
I37053;C44.0;C44.0;Sonstige bösartige Neubildungen: Lippenhaut;Nichtmelanomartige bösartige Neubildung der Lippenhaut;Lippenhaut o.n.A.;Nichtmelanomartige bösartige Neubildung der Lippenhaut (Lippenhaut ohne nähere Angabe);Sonstige bösartige Neubildungen: Lippenhaut (Lippenhaut ohne nähere Angabe)
I17546;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Augenlidbasaliom;Augenlid;Augenlidbasaliom;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I93064;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Augenlidkarzinom;Augenlid;Augenlidkarzinom;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I29831;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Augenlidkrebs;Augenlid;Augenlidkrebs;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I95459;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Augenwinkelbasaliom;Augenlid;Augenwinkelbasaliom (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I86601;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Bösartige Neubildung der Meibom-Drüsen;Augenlid;Bösartige Neubildung der Meibom-Drüsen (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I88665;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Bösartige Neubildung der Palpebra;Augenlid;Bösartige Neubildung der Palpebra (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I90020;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Bösartige Neubildung des Augenlids;Augenlid;Bösartige Neubildung des Augenlids;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I66708;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Bösartige Neubildung des Augenwinkels;Augenlid;Bösartige Neubildung des Augenwinkels (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I51835;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Bösartige Neubildung des Lids;Augenlid;Bösartige Neubildung des Lids (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I13580_1;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Drüsenkarzinom des Lids;Augenlid;Drüsenkarzinom des Lids (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I87580;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Lidbasaliom;Augenlid;Lidbasaliom (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I83313;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Maligner Lidhauttumor;Augenlid;Maligner Lidhauttumor (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I87588;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Maligner Tumor des Lids und Kanthus;Augenlid;Maligner Tumor des Lids und Kanthus (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I06469;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Meibom-Karzinom;Augenlid;Meibom-Karzinom (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I38633;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Merkel-Zell-Karzinom des Augenlids;Augenlid;Merkel-Zell-Karzinom des Augenlids;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I75619;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Nichtmelanomartige bösartige Neubildung der Augenlidhaut;Augenlid;Nichtmelanomartige bösartige Neubildung der Augenlidhaut;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I91712;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Nichtmelanomartige bösartige Neubildung der Augenwinkelhaut;Augenlid;Nichtmelanomartige bösartige Neubildung der Augenwinkelhaut (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I55815;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Nichtmelanomartige bösartige Neubildung der Palpebralhaut;Augenlid;Nichtmelanomartige bösartige Neubildung der Palpebralhaut (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I77879;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Nichtmelanomartige bösartige Neubildung des Lids;Augenlid;Nichtmelanomartige bösartige Neubildung des Lids (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I47645;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Oberlidbasaliom;Augenlid;Oberlidbasaliom (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I93546;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Plattenepithelkarzinom des Lids;Augenlid;Plattenepithelkarzinom des Lids (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I11119;C44.1;C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;Unterlidbasaliom;Augenlid;Unterlidbasaliom (Augenlid);Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus
I45654;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung der Auricula;Äußeres Ohr;Bösartige Neubildung der Auricula (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I41360;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung der Haut des Ohres;Äußeres Ohr;Bösartige Neubildung der Haut des Ohres (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I60334;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung der Ohrhelix;Äußeres Ohr;Bösartige Neubildung der Ohrhelix (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I58075;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung der Ohrmuschel;Äußeres Ohr;Bösartige Neubildung der Ohrmuschel (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I71749;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung des äußeren Gehörganges;Äußeres Ohr;Bösartige Neubildung des äußeren Gehörganges (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I42421;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung des Gehörganges;Äußeres Ohr;Bösartige Neubildung des Gehörganges (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I50559;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung des Meatus acusticus externus;Äußeres Ohr;Bösartige Neubildung des Meatus acusticus externus (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I16355;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung des Ohrkanals;Äußeres Ohr;Bösartige Neubildung des Ohrkanals (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I03515;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung des Ohrläppchens;Äußeres Ohr;Bösartige Neubildung des Ohrläppchens (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I70711_1;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Bösartige Neubildung des Tragus;Äußeres Ohr;Bösartige Neubildung des Tragus (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I70990;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Gehörgangskarzinom;Äußeres Ohr;Gehörgangskarzinom (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I41216;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Gehörgangskrebs;Äußeres Ohr;Gehörgangskrebs (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I96189;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Merkel-Zell-Karzinom der Haut des Ohres;Äußeres Ohr;Merkel-Zell-Karzinom der Haut des Ohres (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I46354;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Nichtmelanomartige bösartige Neubildung der Haut der Ohrhelix;Äußeres Ohr;Nichtmelanomartige bösartige Neubildung der Haut der Ohrhelix (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I52351;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Nichtmelanomartige bösartige Neubildung der Haut des äußeren Gehörganges;Äußeres Ohr;Nichtmelanomartige bösartige Neubildung der Haut des äußeren Gehörganges (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I41949;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Nichtmelanomartige bösartige Neubildung der Haut des Tragus;Äußeres Ohr;Nichtmelanomartige bösartige Neubildung der Haut des Tragus (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I36081;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Nichtmelanomartige bösartige Neubildung der Ohrhaut;Äußeres Ohr;Nichtmelanomartige bösartige Neubildung der Ohrhaut (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I82579;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Nichtmelanomartige bösartige Neubildung der Ohrmuschelhaut;Äußeres Ohr;Nichtmelanomartige bösartige Neubildung der Ohrmuschelhaut (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I91702;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Ohrbasaliom;Äußeres Ohr;Ohrbasaliom (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I60258;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Ohrhautkarzinom;Äußeres Ohr;Ohrhautkarzinom (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I47049;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Ohrmuschelbasaliom;Äußeres Ohr;Ohrmuschelbasaliom (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I98224;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Ohrspinaliom;Äußeres Ohr;Ohrspinaliom (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
I32388;C44.2;C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;Zeruminöses Adenokarzinom;Äußeres Ohr;Zeruminöses Adenokarzinom (Äußeres Ohr);Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges (Äußeres Ohr)
